National Assembly for Wales elections 2016 - Results - Constituencies,,,,GENERAL,,,,,REJECTED BALLOT PAPERS,,,,,,,VOTES CAST,,,,,,,,VOTE SHARE %,,,,,,,,,,,,,,,
ONS Constituency Code,Region,Press Association ID,Constituency,Electorate,Total ballots at the count,Total valid votes cast,Ballot box Turnout,Valid vote turnout,Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Rejected in part,Total number of ballot papers rejected at the count,Rejected ballots (%),CON,LAB,LIB,PC,UKIP,GRN,Ind,Other,CON,LAB,LIB,PC,UKIP,GRN,IND,Other,Winner,,,,,,,
W07000049,South Wales West,1,Aberavon," 49,039 "," 20,985 "," 20,852 ",42.8,42.5,,58,1,74,,133, 0.63 ," 1,342 "," 10,578 "," 1,248 "," 4,176 "," 3,119 ", 389 ,,,6.44,50.73,5.99,20.03,14.96,1.87,0.00,0.00,LAB,,,,,,,
W07000058,North Wales,2,Aberconwy," 44,953 "," 22,244 "," 22,038 ",49.5,49.0,2,24,,180,,206, 0.93 ," 7,646 "," 6,039 ", 781 ," 6,892 ",, 680 ,,,34.69,27.40,3.54,31.27,0.00,3.09,0.00,0.00,CON,,,,,,,
W07000043,North Wales,10,Alyn & Deeside," 62,697 "," 21,838 "," 21,696 ",34.8,34.6,,31,,111,,142, 0.65 ," 4,558 "," 9,922 ", 980 ," 1,944 "," 3,765 ", 527 ,,,21.01,45.73,4.52,8.96,17.35,2.43,0.00,0.00,LAB,,,,,,,
W07000057,North Wales,16,Arfon," 39,269 "," 20,179 "," 19,994 ",51.4,50.9,,,,,,185, 0.92 ," 1,655 "," 6,800 ", 577 ," 10,962 ",,,,,8.28,34.01,2.89,54.83,0.00,0.00,0.00,0.00,PC,,,,,,,
W07000072,South Wales East,71,Blaenau Gwent," 50,575 "," 21,413 "," 21,291 ",42.3,42.1,,38,1,83,,122, 0.57 ," 1,334 "," 8,442 ", 300 ," 7,792 "," 3,423 ",,,,6.27,39.65,1.41,36.60,16.08,0.00,0.00,0.00,LAB,,,,,,,
W07000068,Mid and West Wales,89,Brecon & Radnorshire," 53,791 "," 30,507 "," 30,367 ",56.7,56.5,,49,,91,,140, 0.46 ," 7,728 "," 2,703 "," 15,898 "," 1,180 "," 2,161 ", 697 ,,,25.45,8.90,52.35,3.89,7.12,2.30,0.00,0.00,LD,,,,,,,
W07000073,South Wales West,94,Bridgend," 60,195 "," 26,968 "," 26,851 ",44.8,44.6,,51,4,82,,117, 0.43 ," 6,543 "," 12,166 "," 1,087 "," 2,569 "," 3,919 ", 567 ,,,24.37,45.31,4.05,9.57,14.60,2.11,0.00,0.00,LAB,,,,,,,
W07000076,South Wales East,114,Caerphilly," 62,449 "," 27,216 "," 27,115 ",43.6,43.4,,40,,61,,101, 0.37 ," 2,412 "," 9,584 ", 386 ," 8,009 "," 5,954 ", 770 ,,,8.90,35.35,1.42,29.54,21.96,2.84,0.00,0.00,LAB,,,,,,,
W07000050,South Wales Central,126,Cardiff Central," 57,177 "," 26,224 "," 26,068 ",45.9,45.6,,56,2,98,,156, 0.59 ," 2,317 "," 10,016 "," 9,199 "," 1,951 "," 1,223 "," 1,150 ", 212 ,,8.89,38.42,35.29,7.48,4.69,4.41,0.81,0.00,LAB,,,,,,,
W07000051,South Wales Central,127,Cardiff North," 65,927 "," 37,584 "," 37,452 ",57.0,56.8,,36,3,93,,132, 0.35 ," 13,099 "," 16,766 "," 1,130 "," 2,278 "," 2,509 ", 824 , 846 ,,34.98,44.77,3.02,6.08,6.70,2.20,2.26,0.00,LAB,,,,,,,
W07000080,South Wales Central,128,Cardiff South & Penarth," 76,110 "," 30,480 "," 30,276 ",40.0,39.8,126,78,,,,204, 0.67 ," 6,353 "," 13,274 "," 1,345 "," 4,320 "," 3,716 "," 1,268 ",,,20.98,43.84,4.44,14.27,12.27,4.19,0.00,0.00,LAB,,,,,,,
W07000079,South Wales Central,129,Cardiff West," 66,040 "," 32,111 "," 31,960 ",48.6,48.4,,59,,92,,151, 0.47 ," 5,617 "," 11,381 ", 868 ," 10,205 "," 2,629 "," 1,032 ", 132 , 96 ,17.58,35.61,2.72,31.93,8.23,3.23,0.41,0.30,LAB,,,,,,,
W07000067,Mid and West Wales,131,Carmarthen East & Dinefwr," 55,395 "," 29,888 "," 29,751 ",54.0,53.7,,34,,103,,137, 0.46 ," 4,489 "," 5,727 ", 837 ," 14,427 "," 3,474 ", 797 ,,,15.09,19.25,2.81,48.49,11.68,2.68,0.00,0.00,PC,,,,,,,
W07000066,Mid and West Wales,132,Carmarthen West & Pembrokeshire South," 56,888 "," 29,351 "," 29,237 ",51.6,51.4,,31,,83,,114, 0.39 ," 10,355 "," 6,982 ", 699 ," 5,459 "," 3,300 ", 804 ,," 1,638 ",35.42,23.88,2.39,18.67,11.29,2.75,0.00,5.60,CON,,,,,,,
